Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,20.990000,21.590000,20.940001,21.559999,21.559999,4943600
2020-02-14,21.580000,21.650000,21.180000,21.270000,21.270000,5467400
2020-02-18,21.190001,21.540001,21.150000,21.299999,21.299999,4065000
2020-02-19,21.330000,21.340000,20.809999,20.809999,20.809999,4196700
2020-02-20,20.700001,20.930000,20.500000,20.830000,20.830000,3368200
2020-02-21,20.709999,20.799999,20.309999,20.610001,20.610001,3574800
2020-02-24,19.920000,19.950001,19.110001,19.379999,19.379999,4807300
2020-02-25,19.530001,19.580000,18.209999,18.250000,18.250000,7477400
2020-02-26,18.360001,18.480000,16.980000,17.120001,17.120001,9700200
2020-02-27,16.400000,17.110001,15.650000,16.270000,16.270000,12930600
2020-02-28,15.700000,16.240000,15.420000,15.780000,15.780000,12169400
2020-03-02,15.820000,16.000000,14.850000,15.570000,15.570000,12108200
2020-03-03,16.080000,16.110001,14.890000,15.010000,15.010000,10002500
2020-03-04,15.250000,15.590000,14.550000,15.540000,15.540000,14953200
2020-03-05,14.910000,14.990000,13.760000,13.860000,13.860000,14201100
2020-03-06,13.110000,14.870000,13.010000,13.880000,13.880000,15994700
2020-03-09,13.400000,14.110000,13.120000,13.400000,13.400000,16995800
2020-03-10,14.150000,14.730000,13.410000,14.580000,14.580000,18521600
2020-03-11,14.000000,14.000000,13.130000,13.570000,13.570000,21178800
2020-03-12,11.660000,12.420000,11.480000,11.490000,11.490000,17103000
2020-03-13,12.350000,12.640000,10.200000,11.180000,11.180000,22388300
2020-03-16,9.810000,11.300000,9.320000,10.610000,10.610000,23343600
2020-03-17,10.820000,10.940000,9.460000,9.520000,9.520000,15840300
2020-03-18,8.820000,8.980000,7.010000,7.660000,7.660000,18738700
2020-03-19,7.650000,8.280000,6.700000,7.600000,7.600000,12242300
2020-03-20,8.350000,8.720000,7.110000,7.150000,7.150000,15599000
2020-03-23,7.550000,7.690000,6.610000,6.860000,6.860000,19260400
2020-03-24,8.050000,9.430000,7.650000,9.400000,9.400000,21198000
2020-03-25,11.400000,12.150000,10.060000,11.340000,11.340000,27294400
2020-03-26,12.000000,12.510000,10.730000,10.930000,10.930000,19007900
2020-03-27,10.520000,10.560000,9.610000,9.750000,9.750000,10948700
2020-03-30,9.380000,9.530000,8.500000,8.790000,8.790000,13437200
2020-03-31,9.170000,9.450000,8.790000,8.950000,8.950000,10213600
2020-04-01,8.300000,8.440000,8.000000,8.110000,8.110000,8438100
2020-04-02,8.010000,8.280000,7.560000,7.630000,7.630000,8468400
2020-04-03,7.800000,7.980000,7.220000,7.480000,7.480000,8196800
2020-04-06,7.820000,8.230000,7.250000,7.730000,7.730000,13006300
2020-04-07,8.960000,9.450000,8.550000,8.760000,8.760000,18291900
2020-04-08,9.030000,9.150000,8.770000,9.030000,9.030000,12057400
2020-04-09,9.750000,10.310000,9.140000,9.500000,9.500000,17219700
2020-04-13,9.770000,9.830000,8.780000,9.030000,9.030000,13625700
2020-04-14,9.360000,9.690000,9.160000,9.240000,9.240000,11887200
2020-04-15,10.020000,10.300000,9.110000,9.190000,9.190000,25626500
2020-04-16,9.010000,9.100000,8.560000,8.730000,8.730000,14846000
2020-04-17,9.200000,9.380000,8.960000,8.980000,8.980000,12279400
2020-04-20,8.780000,8.920000,8.460000,8.630000,8.630000,11279000
2020-04-21,8.500000,8.630000,8.290000,8.330000,8.330000,9618600
2020-04-22,8.500000,8.550000,7.750000,7.860000,7.860000,15149100
2020-04-23,7.970000,8.450000,7.900000,8.010000,8.010000,13810200
2020-04-24,8.130000,8.230000,7.750000,7.950000,7.950000,11208100
2020-04-27,8.080000,8.480000,7.950000,8.120000,8.120000,13330600
2020-04-28,8.510000,9.230000,8.440000,9.020000,9.020000,21976900
2020-04-29,9.770000,10.380000,9.650000,10.130000,10.130000,27555800
2020-04-30,9.960000,10.130000,9.450000,9.740000,9.740000,19763600
2020-05-01,9.160000,9.520000,8.850000,9.020000,9.020000,16131800
2020-05-04,8.110000,8.680000,7.960000,8.620000,8.620000,16056700
2020-05-05,9.020000,9.020000,8.250000,8.290000,8.290000,11333200
2020-05-06,8.350000,8.400000,7.910000,8.020000,8.020000,15354600
2020-05-07,7.970000,8.580000,7.930000,8.180000,8.180000,17866300
2020-05-08,8.400000,9.130000,8.380000,9.090000,9.090000,19690500
2020-05-11,8.810000,8.940000,8.490000,8.560000,8.560000,16642900
2020-05-12,8.560000,8.740000,8.050000,8.060000,8.060000,15107300
2020-05-13,8.020000,8.060000,7.560000,7.890000,7.890000,18823200
2020-05-14,7.670000,8.300000,7.340000,8.230000,8.230000,19569600
2020-05-15,8.040000,8.420000,7.940000,8.240000,8.240000,12250000
2020-05-18,8.780000,8.980000,8.430000,8.980000,8.980000,20177800
2020-05-19,9.200000,9.400000,8.710000,8.920000,8.920000,18470300
2020-05-20,9.120000,9.420000,9.060000,9.190000,9.190000,16994700
2020-05-21,9.270000,9.640000,9.200000,9.420000,9.420000,12811000
2020-05-22,9.590000,9.650000,9.070000,9.240000,9.240000,11592600
2020-05-26,10.030000,10.710000,9.960000,10.570000,10.570000,23831000
2020-05-27,11.660000,11.800000,10.230000,10.900000,10.900000,27918800
2020-05-28,10.700000,10.800000,10.070000,10.170000,10.170000,15650200
2020-05-29,9.890000,10.320000,9.750000,10.070000,10.070000,13444800
2020-06-01,10.140000,10.750000,9.970000,10.200000,10.200000,16825200
2020-06-02,10.460000,10.510000,10.020000,10.310000,10.310000,17557200
2020-06-03,10.530000,11.520000,10.520000,11.270000,11.270000,25088400
2020-06-04,12.140000,13.380000,11.630000,13.020000,13.020000,57925000
2020-06-05,15.100000,15.510000,13.320000,13.690000,13.690000,48444800
2020-06-08,14.860000,15.620000,14.260000,15.590000,15.590000,35132600
2020-06-09,14.320000,14.700000,13.750000,14.210000,14.210000,21642800
